month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
7,2003,100057.8125,418.3516846,416.2569275,312.9140625,313.0078125,313.6640625,437.03125,217.6953125,185.2912598,66.5703125,67.26782227,66.94897461,31.66967773,57.00219727,53.20166016,298.6298218,0.103026748,8.289665222,7.227912426,2.477701187,2.708421707,20.75,27.43,29.11,25.75,0.35855055,-0.160512608,-0.064695258,0.4,0.286,-2.51,-0.14,1.23,0.96
8,2003,100089.9922,414.7427063,412.1053162,314.8984375,314.515625,314.5234375,436.6171875,145.8125,179.8984375,67.203125,66.2109375,66.6105957,67.23681641,49.01171875,27.40332031,299.54422,0.010297835,4.999840736,5.83139801,0.365326881,1.546257019,20.14,26.85,29.05,25.04,0.149039206,-0.380519378,-0.516347948,-0.5,0.091,-1.11,-2.34,-0.28,0.88
9,2003,100324.3047,416.5735779,410.3285522,301.4603577,303.2722778,304.3079834,425.2164001,164.3572998,147.9458313,67.33958435,66.5161438,66.7775116,33.32492065,40.65518188,49.28471375,299.0566406,-0.009136081,7.998418331,7.809003353,-0.199692726,-0.1393013,20,26.96,29.02,24.97,0.352192075,-0.08386305,-0.67703525,-0.2,-1.554,-1.8,-1.33,0.76,0.01
10,2003,100380.0703,416.6013489,411.1081543,282.390625,279.984375,280.8828125,396.859375,95.4375,115.8326263,63.046875,64.78575134,63.7578125,41.08374023,32.95751953,43.48730469,300.2286987,-0.022399366,12.50090218,9.027378082,-0.782061577,-1.230100632,20.99,27.19,29.22,25.33,0.047077303,0.191012375,-0.6636812,-0.5,0.414,-0.73,0.89,0.97,0.83
11,2003,100353.6875,414.388855,413.4122925,253.203125,256.2109375,255.421875,362.5646973,98.46313477,72.42407227,60.11157227,60.66625977,59.21264648,8.117431641,-1.595458984,12.59570313,300.6583862,-0.168785214,9.350481987,6.011603832,-2.68076992,-0.717122078,21.92,27.05,29.31,25.4,0.019430384,0.073914444,-0.19336012,-0.7,-0.763,0.71,0.01,-1.72,0.52
12,2003,100695.4453,394.0109863,396.4068604,243.296875,243.671875,241.4375,343.5,66.7734375,63.4453125,58.3671875,58.0859375,58.703125,-1.619384766,-14.49291992,-12.29956055,301.4902344,-0.092075944,5.344594955,7.887908459,-2.062943459,-2.577569008,22.99,26.89,29.02,25.56,0.13327085,-0.089159965,-0.036147417,1.8,-1.635,0.91,-99.9,0.86,0.33
1,2004,100626.9375,391.5486145,386.7234497,252.1953125,251.5234375,251.359375,354.4401855,62.72924805,68.96899414,60.58862305,60.66430664,61.06762695,-5.871337891,1.007080078,7.129394531,302.7668762,-0.05596447,7.069800854,7.88945055,-1.295275688,-1.36655426,24.6,26.74,28.83,25.92,0.12822954,0.366583188,0.14390116,-2.8,-0.554,-0.88,0.48,0.41,0.43
2,2004,100171.2734,397.8516541,407.6989746,281.2421875,277.2109375,278.703125,388.4466553,72.34898376,91.703125,64.50523376,64.6875,65.07240295,29.33178711,28.56835938,34.41308594,304.225647,-0.020014763,9.450117111,9.451951981,-0.259925842,-0.130989075,25.81,26.86,28.59,26.46,0.11054563,0.13145595,0.194981375,1.8,-0.219,1.08,-0.14,1.06,0.48
3,2004,100254.1094,436.5289612,423.0063477,303.5773621,302.8530579,305.4566956,422.706604,87.9058075,106.9248047,68.78262329,67.68234253,68.83082581,60.20141602,51.1133728,51.37519836,308.1761169,0.045900762,11.22880173,12.26421452,1.365140915,1.045505524,25.94,27.1,28.43,27.16,0.107237495,-0.297832005,0.26909405,-0.3,5.007,0.26,-1.12,0.3,0.61
4,2004,100147.7813,426.9750366,434.3688049,316.9921875,318.2578125,318.1171875,440.0402832,102.9387207,111.40625,69.3293457,69.8984375,69.515625,81.35400391,81.41015625,81.60498047,304.0584106,0.037567198,10.97249603,9.917324066,1.330276489,1.806612968,25.32,27.84,28.75,27.37,0.00931678,0.194716545,0.849596025,-2.1,0.078,0.35,1.28,0.51,0.57
